run_id,tag,method,dataset,backbone,train_fraction,num_classes,epochs,batch_size,lr,seed,trainable_params,total_params,pct_trainable,best_acc,final_acc,peak_mem_mb,train_time_s,time_per_epoch_s,throughput_img_s,model,lora_r,adapter_dim,vpt_prompts
fracEff__vit_b__bitfit__cifar100__s42__f25__r8__a64__p20,fracEff,bitfit,cifar100,vit_b,0.25,100,6,128,0.001,42,179812,85875556,0.2094,91.99,91.99,6349.2,434.7,72.5,171.4,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__bitfit__cifar100__s42__f50__r8__a64__p20,fracEff,bitfit,cifar100,vit_b,0.5,100,6,128,0.001,42,179812,85875556,0.2094,92.7,92.7,6349.2,722.9,120.5,207.2,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__cifar100__s42__f5__r8__a64__p20,fracEff,lora,cifar100,vit_b,0.05,100,6,128,0.001,42,371812,86170468,0.4315,88.11,88.06,7127.4,237.4,39.6,61.5,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__cifar100__s42__f10__r8__a64__p20,fracEff,lora,cifar100,vit_b,0.1,100,6,128,0.001,42,371812,86170468,0.4315,90.77,90.68,7127.4,300.2,50.0,99.8,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__cifar100__s42__f25__r8__a64__p20,fracEff,lora,cifar100,vit_b,0.25,100,6,128,0.001,42,371812,86170468,0.4315,92.04,92.04,7127.4,468.4,78.1,159.0,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora__cifar100__s42__f50__r8__a64__p20,fracEff,lora,cifar100,vit_b,0.5,100,6,128,0.001,42,371812,86170468,0.4315,92.77,92.77,7127.4,796.1,132.7,188.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__cifar100__s42__f5__r8__a64__p20,fracEff,adaptformer,cifar100,vit_b,0.05,100,6,128,0.001,42,1266544,87065200,1.4547,88.46,88.46,6830.3,218.3,36.4,66.9,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__cifar100__s42__f10__r8__a64__p20,fracEff,adaptformer,cifar100,vit_b,0.1,100,6,128,0.001,42,1266544,87065200,1.4547,90.7,90.7,6830.3,271.2,45.2,110.5,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__cifar100__s42__f25__r8__a64__p20,fracEff,adaptformer,cifar100,vit_b,0.25,100,6,128,0.001,42,1266544,87065200,1.4547,92.07,92.07,6830.3,433.8,72.3,171.7,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__adaptformer__cifar100__s42__f50__r8__a64__p20,fracEff,adaptformer,cifar100,vit_b,0.5,100,6,128,0.001,42,1266544,87065200,1.4547,92.87,92.87,6830.3,726.6,121.1,206.1,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__cifar100__s42__f5__r8__a64__p20,fracEff,lora_ssf,cifar100,vit_b,0.05,100,6,128,0.001,42,445540,86244196,0.5166,88.76,88.76,9798.5,515.3,85.9,28.3,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__cifar100__s42__f10__r8__a64__p20,fracEff,lora_ssf,cifar100,vit_b,0.1,100,6,128,0.001,42,445540,86244196,0.5166,90.84,90.84,9798.5,376.7,62.8,79.5,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__cifar100__s42__f25__r8__a64__p20,fracEff,lora_ssf,cifar100,vit_b,0.25,100,6,128,0.001,42,445540,86244196,0.5166,92.3,92.3,9798.5,1504.8,250.8,49.5,vit_base_patch16_224.augreg_in21k,8,64,20
fracEff__vit_b__lora_ssf__cifar100__s42__f50__r8__a64__p20,fracEff,lora_ssf,cifar100,vit_b,0.5,100,6,128,0.001,42,445540,86244196,0.5166,93.05,93.03,9798.5,26352.5,4392.1,5.7,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraAlpha_a4__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_loraAlpha_a4,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,80.904,80.798,7126.8,475.2,23.8,156.2,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraAlpha_a8__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_loraAlpha_a8,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,81.649,81.596,7126.8,386.3,19.3,192.2,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraAlpha_a16__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_loraAlpha_a16,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,82.287,82.287,7126.7,44112.6,2205.6,1.7,vit_base_patch16_224.augreg_in21k,8,64,20
abl_loraAlpha_a32__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_loraAlpha_a32,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,83.032,83.032,7126.8,703.0,35.2,105.6,vit_base_patch16_224.augreg_in21k,8,64,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a8__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,192923,85991579,0.2244,81.33,81.33,6750.8,660.4,33.0,112.4,vit_base_patch16_224.augreg_in21k,8,8,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a16__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,340475,86139131,0.3953,82.074,81.915,6762.0,598.3,29.9,124.1,vit_base_patch16_224.augreg_in21k,8,16,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a32__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,635579,86434235,0.7353,82.926,82.926,6785.6,389.3,19.5,190.7,vit_base_patch16_224.augreg_in21k,8,32,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a64__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,1225787,87024443,1.4086,83.138,82.766,6831.0,368.7,18.4,201.3,vit_base_patch16_224.augreg_in21k,8,64,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a128__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,2406203,88204859,2.728,84.043,83.883,6918.9,366.5,18.3,202.5,vit_base_patch16_224.augreg_in21k,8,128,20
abl_adapterDim__vit_b__adaptformer__dtd__s42__f100__r8__a256__p20,abl_adapterDim,adaptformer,dtd,vit_b,1.0,47,20,128,0.001,42,4767035,90565691,5.2636,83.67,83.351,7097.0,374.2,18.7,198.4,vit_base_patch16_224.augreg_in21k,8,256,20
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p1,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,36911,85835567,0.043,74.415,74.255,6340.4,345.2,17.3,215.1,vit_base_patch16_224.augreg_in21k,8,64,1
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p5,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,39983,85838639,0.0466,78.564,78.404,6466.8,348.9,17.4,212.8,vit_base_patch16_224.augreg_in21k,8,64,5
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p10,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,43823,85842479,0.0511,79.362,79.255,6611.7,354.2,17.7,209.6,vit_base_patch16_224.augreg_in21k,8,64,10
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p20,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,51503,85850159,0.06,79.787,79.255,6874.0,363.7,18.2,204.1,vit_base_patch16_224.augreg_in21k,8,64,20
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p50,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,74543,85873199,0.0868,78.989,78.936,7768.8,397.3,19.9,186.9,vit_base_patch16_224.augreg_in21k,8,64,50
abl_vptPrompts__vit_b__vpt__dtd__s42__f100__r8__a64__p100,abl_vptPrompts,vpt,dtd,vit_b,1.0,47,20,128,0.005,42,112943,85911599,0.1315,79.362,78.883,9204.6,863.4,43.2,86.0,vit_base_patch16_224.augreg_in21k,8,64,100
abl_lr_lora_0.0001__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_lr_lora_0.0001,lora,dtd,vit_b,1.0,47,20,128,0.0001,42,331055,86129711,0.3844,76.968,76.968,7126.8,400.4,20.0,185.4,vit_base_patch16_224.augreg_in21k,8,64,20
abl_lr_lora_0.0003__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_lr_lora_0.0003,lora,dtd,vit_b,1.0,47,20,128,0.0003,42,331055,86129711,0.3844,80.319,80.0,7126.8,399.7,20.0,185.7,vit_base_patch16_224.augreg_in21k,8,64,20
abl_lr_lora_0.001__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_lr_lora_0.001,lora,dtd,vit_b,1.0,47,20,128,0.001,42,331055,86129711,0.3844,81.489,81.436,7126.8,399.9,20.0,185.6,vit_base_patch16_224.augreg_in21k,8,64,20
abl_lr_lora_0.003__vit_b__lora__dtd__s42__f100__r8__a64__p20,abl_lr_lora_0.003,lora,dtd,vit_b,1.0,47,20,128,0.003,42,331055,86129711,0.3844,82.606,82.606,7126.8,400.2,20.0,185.5,vit_base_patch16_224.augreg_in21k,8,64,20
abl_lr_ssf_0.0001__vit_b__ssf__dtd__s42__f100__r8__a64__p20,abl_lr_ssf_0.0001,ssf,dtd,vit_b,1.0,47,20,128,0.0001,42,109871,85908527,0.1279,73.936,73.883,8899.0,400.6,20.0,185.3,vit_base_patch16_224.augreg_in21k,8,64,20
